,NI,4 hpi,8 hpi,12 hpi
127,11.813953488372093,82.0,,46.0
128,14.05253140464408,33.0,,39.0
129,9.571952337305225,30.0,,115.0
130,2.6917573262765853,39.0,,83.0
131,6.265444927262422,,,90.0
132,5.3033620015637215,,,30.0
133,8.399579390115667,,,147.0999999999999
134,5.328004125838061,,,38.0
135,11.045428787306385,,,49.0
136,9.236313617606603,,,39.0
137,3.5598204470502015,,,109.0
138,8.290470528282656,,,116.0
139,7.125980911983033,,,180.0
140,2.525029797377831,,,139.0
141,6.086808662967603,,,67.0
142,12.855493895671476,,,118.0
143,7.292712754478095,,,118.29999999999973
144,2.171439480717831,,,104.0
145,11.728504672897197,,,165.04999999999973
146,8.232428115015974,,,131.39999999999986
147,8.695704488027914,,,145.0
148,9.633523176712545,,,35.049999999999955
149,9.663602173004596,,,144.0
150,2.4005091217649555,,,133.64999999999998
151,,,,200.3499999999999
152,,,,37.549999999999955
